asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B0CC5NFB9Y,"Mini Projetor Portatil 5G Wifi 6 Bluetooth 5.0 Android 11, Projetor 4K 1080P Full HD Suporte 8000 Lumens, Projetor Led Auto de Correcção Trapezóide Horizontal, 180°Girável Projector para Telefónico",https://m.media-amazon.com/images/I/71k7+AIzVsL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0CC5NFB9Y,4.4,42,409.99,0,"TV, Áudio e Cinema em Casa",FALSE,1000
B0C15559F3,"Samsung Smart TV Neo QLED 50"" 4K UHD QN90C - Alexa Built-in, Processador com IA, Mini LED",https://m.media-amazon.com/images/I/91l5UwMs8fL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C15559F3,4.7,83,3799.05,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0C6NKMM6H,"Smart TV 50"" 4K LG NanoCell 50NANO77SRA Bluetooth ThinQ AI Alexa Google assistente Airplay 3 HDMI, Light Black",https://m.media-amazon.com/images/I/611gmtpt5vL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C6NKMM6H,4.4,41,2279.05,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0B7K6YWS4,"Smart TV LED 55' 4K UHD TCL 55P635 - Google TV, Wifi",https://m.media-amazon.com/images/I/61dHJpr85eL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0B7K6YWS4,4.7,458,2184.05,2299,"TV, Áudio e Cinema em Casa",FALSE,0
B0BF16HHWC,"HQ Smart TV LED 32"" HD Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim",https://m.media-amazon.com/images/I/61FHJYJNkIL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BF16HHWC,4.1,574,878.63,0,"TV, Áudio e Cinema em Casa",FALSE,0
B09MJQ6JF3,"Smart TV LED 43"" FULL HD TCL 43S615 - Android TV, HDMI",https://m.media-amazon.com/images/I/81H31rbyGcL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B09MJQ6JF3,4.6,512,1414.54,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0BZF9QNHR,"Samsung Smart TV QLED 55"" 4K UHD Q60C - Alexa built in, Modo Game, Tela sem limites",https://m.media-amazon.com/images/I/91lGufYy6GL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BZF9QNHR,4.7,149,3094.73,0,"TV, Áudio e Cinema em Casa",FALSE,0
B07DGQPPTD,Antena de TV Interna UHF/HDTV AI 2031 Intelbras,https://m.media-amazon.com/images/I/51pbqybspvL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07DGQPPTD,4.5,15099,30,39,"TV, Áudio e Cinema em Casa",TRUE,0
B0C6NVT9GJ,"Smart TV 65"" 4K LG UHD ThinQ AI 65UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",https://m.media-amazon.com/images/I/61CB427DDnL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C6NVT9GJ,4.6,56,3366,3682.11,"TV, Áudio e Cinema em Casa",FALSE,0
B0BF1CZB3H,"HQ TV LED 32"" HD Conversor Digital Externo 3 HDMI 1 USB Design Slim",https://m.media-amazon.com/images/I/71wzdtcVofL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BF1CZB3H,4.1,102,730.45,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0BSLMPB65,"AOC 43S5135/78G - Smart TV LED 43"" Full HD, Design sem bordas, Wifi, Conversor Digital, USB, HDMI",https://m.media-amazon.com/images/I/610SYc-HvkL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BSLMPB65,4.7,420,1492.21,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0BSLQMXZJ,"Smart TV LED 32"" HD AOC 32S5135/78G - Design sem bordas, Wifi, Conversor Digital, USB, HDMI",https://m.media-amazon.com/images/I/615J-d6buwL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BSLQMXZJ,4.7,459,979.99,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0C15423SH,"Samsung Smart TV Crystal 55"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub",https://m.media-amazon.com/images/I/71vk2qFDSPL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C15423SH,4.6,195,3203.63,3521.59,"TV, Áudio e Cinema em Casa",FALSE,0
B097Q5MNFV,"Smart TV LED 32"" HD TCL 32S615 - Android TV, Wifi, USB",https://m.media-amazon.com/images/I/81H31rbyGcL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B097Q5MNFV,4.5,2107,1044.05,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0CB6SYJH4,"Samsung Smart TV QLED 4K Q60C 2023 Modo Game Tela sem limites 50"" 50""",https://m.media-amazon.com/images/I/61tPk+KmiQL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0CB6SYJH4,5,8,2904.9,0,"TV, Áudio e Cinema em Casa",FALSE,0
B086YKCXPT,"Smart TV LED 24"" Philco PTV24G50SN Conversor Digital HD com 2 HDMI",https://m.media-amazon.com/images/I/51JMJgXKCYL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B086YKCXPT,4.6,1072,799.9,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0CCJW1FVP,"Smart TV Philips 50"" 4K 50PUG7408/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth",https://m.media-amazon.com/images/I/71efj0Th5TL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0CCJW1FVP,4.8,9,2232.66,2399,"TV, Áudio e Cinema em Casa",FALSE,0
B0BQJNGHHC,"TCL C635 - Smart TV QLED 55"" 4K UHD, Google TV, Wifi, Bluetooth",https://m.media-amazon.com/images/I/614eHwOgqsL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BQJNGHHC,4.5,325,2599.9,0,"TV, Áudio e Cinema em Casa",FALSE,0
